drone_id,stage,generation,best_score,mean_score
FY1,duration_proxy,31,4.806514690253083,4.510933759266836
FY1,duration_proxy,32,4.806514690253083,4.56500977203106
FY1,duration_proxy,33,4.806514690253083,4.6177365733449784
FY1,duration_proxy,34,4.806514690253083,4.664607437458446
FY1,duration_proxy,35,4.807475064533213,4.697521561412848
FY1,duration_proxy,36,4.807475064533213,4.7216568100699465
FY1,duration_proxy,37,4.807475064533213,4.741448769066116
FY1,duration_proxy,38,4.807475064533213,4.748753352599109
FY1,duration_proxy,39,4.826468167473456,4.7600668559392245
FY1,duration_proxy,40,4.826468167473456,4.77127160274461
FY1,duration_proxy,41,4.826468167473456,4.778428434098016
FY1,duration_proxy,42,4.826468167473456,4.783200459320489
FY1,duration_proxy,43,4.826468167473456,4.78672765407927
FY1,duration_proxy,44,4.826468167473456,4.789190005986506
FY1,duration_proxy,45,4.826468167473456,4.792585607477359
FY1,duration_proxy,46,4.826468167473456,4.7966926053512955
FY1,duration_proxy,47,4.826468167473456,4.798945035271097
FY1,duration_proxy,48,4.828329101547619,4.801151991933883
FY1,duration_proxy,49,4.828329101547619,4.803507372690985
FY1,duration_proxy,50,4.828329101547619,4.805586898967048
FY1,duration_proxy,51,4.828329101547619,4.808549967311076
FY1,duration_proxy,52,4.828329101547619,4.81047161577053
FY1,duration_proxy,53,4.829786022844042,4.812424215992533
FY1,duration_proxy,54,4.829786022844042,4.814264696500023
FY1,duration_proxy,55,4.830452077041273,4.815180367644423
FY1,duration_proxy,56,4.830452077041273,4.816487790055489
FY1,duration_proxy,57,4.830452077041273,4.817801458397804
FY1,duration_proxy,58,4.830452077041273,4.818813953612592
FY1,duration_proxy,59,4.830452077041273,4.819488260885443
FY1,duration_proxy,60,4.830452077041273,4.820272956486968
FY1,duration_proxy,61,4.830452077041273,4.820646055193243
FY1,duration_proxy,62,4.830452077041273,4.8211628827625495
FY1,duration_proxy,63,4.830452077041273,4.821548396471046
FY1,duration_proxy,64,4.830452077041273,4.82254887180972
FY1,duration_proxy,65,4.830452077041273,4.822999135508304
FY1,duration_proxy,66,4.830452077041273,4.823385109880722
FY1,duration_proxy,67,4.830452077041273,4.823961561935806
FY1,duration_proxy,68,4.830452077041273,4.824346206617534
FY1,duration_proxy,69,4.830452077041273,4.824767810570742
FY1,duration_proxy,70,4.830939707693933,4.825277319037006
FY1,duration_proxy,71,4.830939707693933,4.825536562561571
FY1,duration_proxy,72,4.830939707693933,4.825927510964576
FY1,duration_proxy,73,4.830939707693933,4.826234269842922
FY1,duration_proxy,74,4.830939707693933,4.826493469569914
FY1,duration_proxy,75,4.830939707693933,4.826801334103983
FY1,duration_proxy,76,4.830939707693933,4.827106540956486
FY1,duration_proxy,77,4.830939707693933,4.827237762424348
FY1,duration_proxy,78,4.830939707693933,4.827399568812103
FY1,duration_proxy,79,4.831790926169294,4.827761208454291
FY1,duration_proxy,80,4.831797340914934,4.828126469512782
FY1,duration_proxy,81,4.831797340914934,4.828388295814371
FY1,duration_proxy,82,4.831946595251995,4.828653174271229
FY1,duration_proxy,83,4.831946595251995,4.828875956766233
FY1,duration_proxy,84,4.831946595251995,4.82906127267493
FY1,duration_proxy,85,4.831946595251995,4.829235384153908
FY1,duration_proxy,86,4.831946595251995,4.829482824815001
FY1,duration_proxy,87,4.831946595251995,4.8296783306572975
FY1,duration_proxy,88,4.831946595251995,4.829812934749308
FY1,duration_proxy,89,4.831946595251995,4.829962835452203
FY1,duration_proxy,90,4.831946595251995,4.830063541029138
FY1,duration_proxy,91,4.831946595251995,4.830181016407089
FY1,duration_proxy,92,4.831946595251995,4.830270783394723
FY1,duration_proxy,93,4.831946595251995,4.830385028194164
FY1,duration_proxy,94,4.832049782820515,4.83046271713082
FY1,duration_proxy,95,4.832049782820515,4.830622737919378
FY1,duration_proxy,96,4.832049782820515,4.830726967074656
FY1,duration_proxy,97,4.832049782820515,4.830836707652609
FY1,duration_proxy,98,4.832049782820515,4.830923894494231
FY1,duration_proxy,99,4.832049782820515,4.830982158790336
FY1,duration_proxy,100,4.832061987909629,4.831067454441704
